,0,1
671,237.2328,
672,237.1898,
673,237.132,
674,237.1438,
675,237.1314,
676,237.0961,
677,237.0756,
678,237.0917,
679,237.1379,
680,237.1089,
681,237.0902,
682,237.1109,
683,237.1119,
684,237.1853,
685,237.2071,
686,237.1583,
687,237.1683,
688,237.1695,
689,237.1821,
690,237.2138,
691,237.2367,
692,237.2717,
693,237.2974,
694,237.2581,
695,237.2593,
696,237.2359,
697,237.2494,
698,237.2372,
699,237.2929,
700,237.2465,
701,237.1885,
702,237.192,
703,237.1923,
704,237.1636,
705,237.1803,
706,237.1527,
707,237.137,
708,237.1707,
709,237.1545,
710,237.1905,
711,237.2087,
712,237.2078,
713,237.2227,
714,237.206,
715,237.1273,
716,237.0992,
717,237.088,
718,237.0496,
719,237.021,
720,237.055,
721,237.0563,
722,237.0936,
723,237.1314,
724,237.0599,
725,237.0899,
726,237.13,
727,237.1905,
728,237.2412,
729,237.2571,
730,237.2149,
731,237.2039,
732,237.2348,
733,237.19299999999998,
734,237.2425,
735,237.2057,
736,237.2039,
737,237.2128,
738,237.1923,
739,237.1456,
740,237.1727,
741,237.1836,
742,237.1608,
743,237.1679,
744,237.1535,
745,237.1643,
746,237.1663,
747,237.1282,
748,237.1948,
749,237.1868,
750,237.1302,
751,237.1556,
752,237.1831,
753,237.1639,
754,237.1715,
755,237.1591,
756,237.1501,
757,237.2076,
758,237.1891,
759,237.2159,
760,237.2127,
761,237.2148,
762,237.2164,
763,237.2535,
764,237.2972,
765,237.3181,
766,237.2622,
767,237.2311,
768,237.1873,
769,237.18599999999998,
770,237.1695,
771,237.1702,
772,237.233,
773,237.2064,
774,237.1953,
775,237.1448,
776,237.1304,
777,237.1317,
778,237.1106,
779,237.0834,
780,237.0647,
781,237.1001,
782,237.1343,
783,237.1509,
784,237.1565,
785,237.1443,
786,237.1423,
787,237.1174,
788,237.1039,
789,237.1646,
790,237.1529,
791,237.1121,
792,237.1402,
793,237.1366,
794,237.1123,
795,237.0988,
796,237.1149,
797,237.1063,
798,237.1242,
799,237.1178,
800,237.1114,
801,237.0556,
802,237.1376,
803,237.0995,
804,237.0823,
805,237.0844,
806,237.0955,
807,237.0755,
808,237.06799999999998,
809,237.0855,
810,237.0531,
811,237.0985,
812,237.0804,
813,237.1197,
814,237.1294,
815,237.1228,
816,237.1264,
817,237.1887,
818,237.2297,
819,237.22299999999998,
820,237.2436,
821,237.2441,
822,237.232,
823,237.2364,
824,237.2142,
825,237.23,
826,237.2651,
827,237.2484,
828,237.2348,
829,237.2526,
830,237.2125,
831,237.1987,
832,237.1936,
833,237.1695,
834,237.1558,
835,237.1094,
836,237.0783,
837,237.0163,
838,236.9781,
839,236.952,
840,236.9905,
841,236.9806,
842,236.9869,
843,237.0304,
844,236.9926,
845,236.9529,
846,236.9284,
847,236.9723,
848,236.9717,
849,236.9694,
850,236.9239,
851,236.9313,
852,236.8979,
853,236.9073,
854,236.9719,
855,236.9727,
856,237.0103,
857,237.0202,
858,237.0031,
859,237.0251,
860,236.9585,
861,236.9839,
862,237.0033,
863,237.0082,
864,236.9875,
865,236.9798,
866,237.0161,
867,237.0175,
868,237.0555,
869,237.0393,
870,237.046,
871,237.0479,
872,237.0454,
873,237.0284,
874,236.9912,
875,237.0637,
876,237.0716,
877,237.0758,
878,237.0967,
879,237.1469,
880,237.1066,
881,237.1094,
882,237.1622,
883,237.1587,
884,237.1371,
885,237.0657,
886,237.1048,
887,237.1111,
888,237.0882,
889,237.0709,
890,237.0244,
891,237.0184,
892,237.0013,
893,237.0116,
894,236.9603,
895,236.9274,
896,236.942,
897,236.9389,
898,236.9382,
899,236.9028,
900,236.93,
901,236.9546,
902,236.93400000000003,
903,236.9351,
904,236.8534,
905,236.838,
906,236.78099999999998,
907,236.7835,
908,236.7966,
909,236.8105,
910,236.7967,
911,236.8199,
912,236.7994,
913,236.8214,
914,236.8199,
915,236.8413,
916,236.8523,
917,236.8034,
918,236.8228,
919,236.7908,
920,236.7278,
921,236.7113,
922,236.7734,
923,236.7883,
924,236.7976,
925,236.7995,
926,236.8616,
927,236.831,
928,236.8709,
929,236.8892,
930,236.8939,
931,236.9046,
932,236.8571,
933,236.78799999999998,
934,236.7953,
935,236.8478,
936,236.8535,
937,236.8677,
938,236.8676,
939,236.8475,
940,236.8501,
941,236.8776,
942,236.9012,
943,236.9212,
944,236.8686,
945,236.8884,
946,236.8931,
947,236.8875,
948,236.8778,
949,236.9188,
950,236.9241,
951,236.9053,
952,236.90900000000002,
953,236.9031,
954,236.8627,
955,236.8744,
956,236.855,
957,236.8446,
958,236.8266,
959,236.7961,
960,236.8252,
961,236.8241,
962,236.8287,
963,236.8847,
964,236.84,
965,236.8809,
966,236.8362,
967,236.8578,
968,236.8117,
969,236.8483,
970,236.8573,
971,236.8637,
972,236.8827,
973,236.8702,
974,236.8629,
975,236.8647,
976,236.8713,
977,236.8733,
978,236.8822,
979,236.9361,
980,236.9073,
981,236.8826,
982,236.8724,
983,236.9022,
984,236.8924,
985,236.9191,
986,236.9144,
987,236.9283,
988,236.96400000000003,
989,236.9481,
990,236.9651,
991,237.0148,
992,236.9876,
993,236.9865,
994,236.979,
995,237.0241,
996,237.0231,
997,237.0265,
998,237.0421,
999,237.0013,
1000,236.9767,
